10, 5, 50
12, 4, 46
9, 7, 58
6, 6, 53
13, 7, 55
6, 5, 58
10, 4, 41
6, 4, 59
10, 5, 46
11, 5, 44
12, 7, 56
7, 5, 45
6, 7, 51
10, 3, 49
12, 5, 51
6, 3, 50
10, 6, 43
10, 5, 55
6, 5, 46
11, 4, 59
10, 5, 45
13, 3, 43
7, 5, 47
11, 5, 45
10, 3, 44
10, 7, 52
10, 4, 53
14, 5, 51
12, 5, 48
7, 5, 54
11, 5, 43
7, 5, 58
6, 6, 42
8, 4, 45
10, 4, 50
7, 5, 45
9, 3, 54
9, 6, 57
9, 4, 44
11, 6, 53
8, 5, 55
13, 5, 56
6, 3, 47
12, 7, 55
9, 7, 42
14, 6, 57
13, 6, 43
13, 3, 51
13, 7, 41
13, 6, 43
8, 4, 41
12, 7, 41
14, 5, 50
13, 5, 48
9, 7, 55
10, 7, 54
10, 3, 57
8, 3, 47
13, 3, 41
10, 4, 57
11, 5, 42
13, 5, 43
12, 6, 56
7, 6, 45
11, 6, 51
14, 5, 52
11, 6, 41
10, 5, 45
9, 7, 56
14, 4, 49
13, 6, 53
10, 5, 43
13, 5, 57
7, 5, 56
9, 5, 55
8, 5, 42
9, 5, 59
8, 6, 59
13, 5, 45
10, 3, 51
7, 5, 57
8, 5, 43
8, 3, 55
6, 5, 56
12, 7, 50
6, 5, 53
14, 4, 56
11, 5, 42
7, 6, 42
6, 5, 57
7, 4, 49
7, 7, 52
7, 7, 56
13, 6, 50
6, 7, 46
12, 4, 47
13, 3, 43
7, 5, 47
14, 7, 57
10, 5, 47
6, 4, 50
10, 7, 52
10, 4, 57
7, 7, 54
10, 6, 41
10, 7, 41
11, 4, 55
11, 4, 50
9, 4, 42
10, 3, 46
12, 3, 50
8, 5, 53
13, 5, 55
7, 7, 41
10, 4, 50
10, 6, 46
6, 6, 54
10, 5, 48
12, 6, 47
10, 7, 46
12, 3, 43
11, 6, 45
8, 5, 42
7, 5, 47
13, 7, 47
10, 3, 53
10, 5, 59
12, 3, 55
14, 6, 51
6, 7, 48
7, 3, 45
7, 5, 50
9, 3, 43
10, 7, 41
7, 3, 49
12, 5, 41
13, 5, 54
8, 4, 55
9, 5, 51
7, 5, 51
8, 4, 57
14, 5, 42
11, 5, 47
11, 5, 48
12, 5, 47
12, 6, 41
12, 4, 50
12, 5, 53
10, 7, 53
11, 4, 43
10, 4, 44
9, 5, 46
13, 5, 42
9, 6, 55
12, 3, 53
14, 5, 52
8, 6, 59
13, 7, 45
13, 5, 46
7, 6, 56
12, 3, 42
7, 5, 54
10, 5, 51
6, 5, 48
13, 7, 58
7, 4, 48
13, 7, 50
8, 3, 48
6, 7, 50
6, 5, 54
10, 5, 46
13, 3, 54
7, 3, 50
9, 7, 53
6, 3, 42
13, 5, 49
11, 4, 49
9, 6, 58
14, 4, 52
8, 5, 44
11, 6, 59
13, 3, 50
11, 3, 42
13, 3, 44
7, 4, 55
8, 6, 50
13, 6, 44
6, 5, 46
14, 5, 51
10, 5, 44
14, 7, 50
10, 6, 55
10, 5, 44
7, 4, 55
7, 5, 44
11, 6, 47
10, 5, 47
12, 4, 41
7, 4, 54
9, 4, 53
12, 4, 54
7, 7, 44
13, 5, 46
8, 5, 49
9, 5, 46
14, 7, 48
13, 5, 47
14, 5, 56
6, 6, 58
12, 5, 46
10, 4, 53
12, 5, 51
8, 5, 50
8, 6, 56
13, 5, 47
12, 4, 49
10, 3, 53
11, 7, 46
10, 7, 43
9, 7, 57
7, 3, 45
7, 3, 58
6, 3, 51
10, 5, 49
9, 3, 44
12, 3, 50
9, 5, 53
10, 3, 54
6, 5, 58
8, 4, 42
12, 5, 53
13, 6, 52
6, 5, 50
10, 3, 42
7, 5, 59
14, 5, 58
11, 3, 42
11, 6, 58
13, 4, 41
10, 5, 50
7, 3, 48
10, 3, 48
11, 4, 45
10, 7, 44
11, 4, 59
7, 6, 46
7, 3, 48
7, 5, 49
14, 5, 43
11, 4, 47
11, 6, 58
13, 6, 50
7, 5, 56
